,img,colormap,dataset,arquitetura_cnn
GAF,Car,binary,0.3166666626930237,resnet50_tf
GAF,MiddlePhalanxTW,binary,0.1493506431579589,resnet50_tf
GAF,Meat,binary,0.3333333432674408,resnet50_tf
GAF,FaceFour,binary,0.2954545319080353,resnet50_tf
GAF,DodgerLoopGame,binary,0.52173912525177,resnet50_tf
GAF,CricketY,binary,0.1128205135464668,resnet50_tf
GAF,PigAirwayPressure,binary,0.0192307699471712,resnet50_tf
GAF,ACSF1,binary,0.1000000014901161,resnet50_tf
GAF,CricketX,binary,0.1307692378759384,resnet50_tf
GAF,SmallKitchenAppliances,binary,0.335999995470047,resnet50_tf
GAF,GesturePebbleZ1,binary,0.1918604671955108,resnet50_tf
GAF,UMD,binary,0.3541666567325592,resnet50_tf
GAF,InsectEPGSmallTrain,binary,0.4979919791221618,resnet50_tf
GAF,ECG200,binary,1.0,resnet50_tf
GAF,PigCVP,binary,0.0144230769947171,resnet50_tf
GAF,Strawberry,binary,0.7270269989967346,resnet50_tf
GAF,DistalPhalanxOutlineCorrect,binary,0.8297101259231567,resnet50_tf
GAF,EOGHorizontalSignal,binary,0.0828729271888732,resnet50_tf
GAF,Symbols,binary,0.5296482443809509,resnet50_tf
GAF,DodgerLoopDay,binary,0.1624999940395355,resnet50_tf
GAF,Beef,binary,0.3000000119209289,resnet50_tf
GAF,OliveOil,binary,0.1333333402872085,resnet50_tf
GAF,BeetleFly,binary,0.5,resnet50_tf
GAF,WordSynonyms,binary,0.0548589341342449,resnet50_tf
GAF,SmoothSubspace,binary,0.3533333241939544,resnet50_tf
GAF,GesturePebbleZ2,binary,0.2658227980136871,resnet50_tf
GAF,ProximalPhalanxOutlineAgeGroup,binary,0.4292683005332947,resnet50_tf
GAF,TwoLeadECG,binary,0.5004389882087708,resnet50_tf
GAF,Coffee,binary,0.4642857015132904,resnet50_tf
GAF,ProximalPhalanxOutlineCorrect,binary,0.8213058710098267,resnet50_tf
GAF,BME,binary,0.6466666460037231,resnet50_tf
